,Date,User,Tweet,Likes,Retweets,Replies
31,2022-04-22 08:43:37,MujeresaSeguir,Mercedes Mac Pherson @Globant : 'Hay un desconocimiento grande del poder de transformación de la tecnología' #mujerytecnología @TheBridge_Tech https://t.co/OFDlmziC1y,2,0,0
32,2022-04-22 08:33:23,MujeresaSeguir,Sara Gómez @RainG 'La sociedad no sabe lo que hacemos los ingenieros y los tecnólogos' #mujerytecnología @TheBridge_Tech @Globant https://t.co/lYFyIZuW3J,5,1,0
33,2022-04-22 08:29:12,MujeresaSeguir,Comienza nuestra segunda mesa 'Cómo construir un futuro que nos representa'. Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/kApsKZ04SD,2,0,0
34,2022-04-22 08:26:55,MujeresaSeguir,"Carmen Artigas, secretaria de Estado de Digitalización e Inteligencia Artificial de Asuntos Económicos y Transformación Digital: 'Es nuestro momento. El momento de las mujeres' #mujerytecnología @Globant @TheBridge_Tech https://t.co/gLjyCQPBRH",5,3,0
35,2022-04-22 08:22:02,MujeresaSeguir,"'Nunca se progresa desde el miedo. Hay que arriesgarse disfrutando', Irene Cano @Meta #mujerytecnología @TheBridge_Tech @Globant https://t.co/yaoUnWJIs6",4,1,0
36,2022-04-22 08:19:53,MujeresaSeguir,"'Hay que tener una apertura de mente en los modelos educativos' María Rotondo @Telefonica 
Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/dB8tF3prJv",2,0,0
37,2022-04-22 07:48:10,MujeresaSeguir,"A día de hoy, el 41 % de las  investigaciones públicas las hacen mujeres. Descubre más datos en numerosas jornada @TheBridge_Tech #mujerytecnología 
https://t.co/bNRyoB4h6y https://t.co/ZBQ4299zQW",0,0,0
38,2022-04-22 06:55:37,Capgemini_ES,@MujeresaSeguir @Globant @TheBridge_Tech Qué gran panel!,0,0,0
39,2022-04-21 14:26:16,TheBridge_Tech,"¿Unimos #psicología, diseño #uxui y #realidadvirtual? La respuesta: SÍ! Te invitamos a la mesa redonda del 28 de abril en @TheBridge_Tech donde trataremos el diseño ux desde el punto de vista del tratamiento de las fobias a través de la #vr. Entradas 👉https://t.co/JGOpD7p2rO",0,0,0
40,2022-04-21 12:42:41,GemmaRBar,@MujeresaSeguir @Globant @TheBridge_Tech Apuntado en la agenda 👌,0,0,0
41,2022-04-21 12:01:42,TheBridge_Tech,¡Gracias a vosotros! https://t.co/g7otWL5xbs,1,0,0
42,2022-04-21 11:30:01,itep_es,"📢Como ya sabéis, antes de #SemanaSanta, nuestro alumnado de la #FPinformática💻 visitaron @TheBridge_Tech. Gracias a su trato hacia #ITEP🔵 y su colaboración os ofrecemos nuevas imágenes de esa actividad‼️ En ellas queda patente el interés de la cita 👌🏻 https://t.co/nt0LFYitDB",4,1,0
43,2022-04-20 11:26:24,mrentem,@TheBridge_Tech Otro de los placeres de haber pasado unos meses en esas aulas!! 😉👩🏻‍💻,1,0,0
